Tweet_ID,Tweet_Text,sentiment
1150244364301373440,RT @uscpsycho: This was written by a friend of mine to the Trojan Athletic Fund rep assigned to him. This is how we all feel today. #USC ht…,1
1150244121736384512,@Ace1108 @statefan5024 @CFBMemes_ You are delusional. It’s the University of Southern California. That’s what all C… https://t.co/wECr8jL40H,1
1150243848192483328,RT @VerbalCommits: 2021 Independence (NC) F Omarion Bodrick has received an offer from USC Upstate. https://t.co/gL43SliEp9,1
1150243757322674176,USC Number 108318261  @TsspdclCorporat  Dear Sir  no power in Manikonda. Please restore asap.,1
1150243564103905280,@USCTrojans55 @statefan5024 @CFBMemes_ USC is the University of South Carolina. I’ve seen people also use USCe like… https://t.co/qKOnQNk8mB,1
1150243432381612033,RT @Valentinesday1: Title 8  U.S.C. § 1324(a) defines offenses related to aliens. Subsection 1324(a)(1)(i)-(v) prohibits alien smuggling  d…,0
1150243363968278528,RT @oocbignut: stephenie: spoons  stephenie: :) olivia: stephenie realeased the forbidden usc cheer: spoons :) eirenne: Because everyone wa…,1
1150243241452851200,RT @JamilSmith: There are about 1 million immigrants with final removal orders. Once Sunday’s ICE raids were announced  Roberto Suro  a pub…,1
1150243202869284866,"RT @GoJackFlynn: Thread by @SidneyPowell1: ""Here's how to end the border crisis: 1. @realDonaldTrump enters an executive order under 8 USC…",1
1150243100591366144,RT @rmfortune: @AnnInquirer @senatemajldr @McConnell @SenateGOP @RandPaul @Sekusa1 @KyManInTheWoods @Go_USC_Gamecock @heyitsCarolyn @RL9631…,1
1150243052189048833,RT @CrimeADay: 50 USC §797(a)(1) makes it a federal crime to violate a posted defense property security regulation  even if you're just try…,1
1150242608909869057,@IvanCarter9 Rspect for Utah  he beat USC at the Rose Bowl on a bummed knee. Now let's play some sandlot football a… https://t.co/XyhNj3OxEN,1
1150242582196379648,"""Oh wow you have a USC shirt! Are you a student "" -No  i got it on a college tour ""When did you attend USC "" -I onl… https://t.co/B8w6825gth",1
1150242548142637056,RT @UCDfootball: “That USC agreed to play UC Davis as its first-ever FCS opponent signifies the respect they have for our team and universi…,1
1150242348703592448,@GavinNewsom AIDING AND ABETTING ILLEGAL ALIENS https://t.co/Qyya4yS9y5,0
1150242272769789952,@TsspdclCorporat There is a power cut in USC 101224490  Kindly Assist!,1
1150242252037529600,@AnnInquirer @senatemajldr @McConnell @SenateGOP @RandPaul @Sekusa1 @KyManInTheWoods @Go_USC_Gamecock… https://t.co/hk9apenZga,1
1150242060093595649,RT @CrimeADay: 50 USC §797(a)(1) makes it a federal crime to violate a posted defense property security regulation  even if you're just try…,1
1150242029215129600,RT @notMaxGoof: @iwllbedem @nowthisnews @JoyAnnReid Here's the actual legislation referenced. https://t.co/KtGoM7OfPw And here are your rig…,1
1150241994729500677,@lefthandbrewing @ @FlyingSaucerCol yum! #beer #berz #beer #flying #flyingsaucer #cola #style #colas #sc #usc… https://t.co/X05IJGAfRS,1
1150241938358112256,RT @AnnInquirer: VOTE NO S386 @senatemajldr 202-224-2541/2499fax @McConnell @SenateGOP @RandPaul  🇺🇸Plz use meme 4 trains @sekusa1 @KyManIn…,1
1150241819235704837,RT @adivarma: @PresImmAlliance Common sense reform that should be passed. Meritocracy and fairness are a powerful combination —- that’s wha…,1
1150241765393350656,Shoulda let him take it ffs,1
1150241237028315136,RT @SportsPac12: Pac-12 in @CBSSports Best in College Sports Rankings for 2018-19  10. Washington 21. Oregon 22. Stanford 33. ASU 37. WSU 4…,1
1150241147706589191,RT @Sidelines_ND: 51 Days until Irish football! In 1951  Frank Leahy led the Irish to a 19-12 win over #20 USC in the final game of the sea…,1
1150241071923773440,RT @uscpsycho: This was written by a friend of mine to the Trojan Athletic Fund rep assigned to him. This is how we all feel today. #USC ht…,1
1150241066219724806,@cbrentv3 Dang . We are in. Columbia home of usc jr. man it was pouring driving through the mountains on 40. I was… https://t.co/2T2R210h4l,1
1150241004647268353,@secsportstalkCF @SBNation How is USC #5 that was  the Pete Carroll years,1
1150240968651632640,RT @SBartle247: Oddsmakers win projections for Utah football and the Pac-12 (FREE) https://t.co/Cv6agYGrei via @247sports,1
1150240925198761984,@BenjaminSolak @Tim_NBA This Is an absurd list. Texas-3  Clemson-4   Oregon-5  USC-9  Those are all extremely questionable.,0
1150240884891488257,RT @DWFRBLX: United States Championship!   Jake Bourne looking for some gold here tonight at DWFMania as he takes on GORTIA FLAIR!!!!  BUT…,1
1150240859302039552,@BCrawford247 I was at both of those games. In the Raleigh game I’m pretty sure USC was the only team to ever lose… https://t.co/rOCY8hbDOm,1
1150240854164103169,@heyitsCarolyn @RNinMI @Sekusa1 @GodFirstGina @MarshaPatriot @alley167 @dahwg @Serremmy @Razorsmack1 @SusanIverach… https://t.co/5pic95UwHi,1
1150240754679209984,"RT @GoJackFlynn: Thread by @SidneyPowell1: ""Here's how to end the border crisis: 1. @realDonaldTrump enters an executive order under 8 USC…",1
1150240694411202560,RT @SportsPac12: Most 10+ Win Seasons in Last 10 Years    1. Oregon  6       Stanford  6   3  USC  4   4. Utah  3       Washington  3   6.…,1
1150240666947149830,@mcaliente @MPBCanes @KatiePavlich NOOOOOOO  NOOOOOOO waivers that require you to be outside of the US to be proces… https://t.co/wnFECLdveF,1
1150240594255650816,@AikoTakashii Usc ,1
1150240585808265216,I usually love SAS but man  the fact USC even on this list  man MUST be stuck in 07 or something https://t.co/JBcOZpGms3,1
1150240414470987776,@StacksNot Like bro he has Oregon at 5 and USC at 9. Then has Michigan and Texas ahead of Clemson who won the Natio… https://t.co/z06UMWk0F8,1
1150240351338160130,Title 8  U.S.C. § 1324(a) defines offenses related to aliens. Subsection 1324(a)(1)(i)-(v) prohibits alien smugglin… https://t.co/ZqE9ifpzW6,0
1150240306392158208,RT @CrimeADay: 50 USC §797(a)(1) makes it a federal crime to violate a posted defense property security regulation  even if you're just try…,1
1150239839880482818,@ItsAaronWith2As USC rank 9 2 years ago,0
1150239714991063040,Spending my Sadderday sipping Summertime (gin  alize  sprite  bright&amp;early) watching 2005 USC vs Notre Dame... can’… https://t.co/sL5YPGScka,1
1150239578172923904,RT @CrimeADay: 50 USC §797(a)(1) makes it a federal crime to violate a posted defense property security regulation  even if you're just try…,1
1150239439924486145,@DWFRBLX Well now that you say that I’m going for USC after I take the Warrior title off the hands of List Jericho,1
1150239268796862464,Stephen A definitely doesn’t watch College Football. USC wasn’t even ranked last year lol. Like 6-7 of these teams… https://t.co/wsm2mWnnqJ,1
1150239043323662336,United States Championship!   Jake Bourne looking for some gold here tonight at DWFMania as he takes on GORTIA FLAI… https://t.co/VAEyXF4TeY,1
1150238984083144704,RT @LAPDChiefMoore: Los Angeles is a city made up of families—We will continue to do what’s in the best interest of all Angelenos  no matte…,1
1150238811684839424,RT @AjhungMD: A @BJUIjournal comprehensive review of #AI in #urology by @USCUrologySim @USC_Urology @prokarurol. 111 articles broken down b…,0
1150238742340202496,"RT @GoJackFlynn: Thread by @SidneyPowell1: ""Here's how to end the border crisis: 1. @realDonaldTrump enters an executive order under 8 USC…",1
1150238639336697857,RT @woffordwpa: Locust Grove ga. 2021 Duel Threat QB ( @jj_wof12 ) hard work = success @RecruitGeorgia @recruittrue @Champions_Elite @USAFo…,1
1150238529517023232,What can you expect from USC this season  I take a look at their most difficult games and rank their full schedule… https://t.co/wrNd6yX8js,0
1150238456125296641,"RT @GoJackFlynn: Thread by @SidneyPowell1: ""Here's how to end the border crisis: 1. @realDonaldTrump enters an executive order under 8 USC…",1
1150238403679674369,"RT @GoJackFlynn: Thread by @SidneyPowell1: ""Here's how to end the border crisis: 1. @realDonaldTrump enters an executive order under 8 USC…",1
1150238202768134144,"RT @GoJackFlynn: Thread by @SidneyPowell1: ""Here's how to end the border crisis: 1. @realDonaldTrump enters an executive order under 8 USC…",1
1150238171902427136,RT @mundodelovoide: Interesante dato. Solo hay 3 equipos que en toda su historia no han enfrentado a equipos de la Subdivisión inferior FCS…,1
1150238034958401536,@Iceburg1995 @ESPNFootball19 @CFBHome Yeah and UCLA  USC  cal  Stanford  and MSU have been racking up the titles du… https://t.co/WYq73tmWdD,1
1150237934378987522,"RT @GoJackFlynn: Thread by @SidneyPowell1: ""Here's how to end the border crisis: 1. @realDonaldTrump enters an executive order under 8 USC…",1
1150237887411249152,RT @MVPKirk: Time to end this once and for all  Like for Bobby Wagner  Rt for Luke Kuechly https://t.co/SS2IYCNxwy,1
